Bar,Date,Time,Open,High,Low,Close,CCI(20C),%K(141),%D(3)
273,11/15/07,12:40,146550,146625,146275,146325,-180.76,5.55,15.64
274,11/15/07,12:45,146325,146500,146225,146475,-122.71,26.31,20.14
275,11/15/07,12:50,146475,146625,146400,146450,-114.13,23.68,18.51
276,11/15/07,12:55,146450,146650,146425,146525,-81.5,31.57,27.19
277,11/15/07,13:00,146525,146725,146450,146700,-23.53,50,35.08
278,11/15/07,13:05,146700,146775,146625,146625,-39.97,42.1,41.22
279,11/15/07,13:10,146625,146875,146550,146775,11.75,59.45,50.52
280,11/15/07,13:15,146750,146750,146450,146500,-72.57,29.72,43.76
281,11/15/07,13:20,146475,146550,146375,146500,-65.8,29.72,39.63
282,11/15/07,13:25,146500,146750,146450,146625,-16.6,59.25,39.57
283,11/15/07,13:30,146650,147000,146625,146900,83.27,87.09,58.69
284,11/15/07,13:35,146875,146900,146625,146650,-4.45,54.83,67.06
285,11/15/07,13:40,146650,146800,146525,146750,42.06,67.74,69.89
286,11/15/07,13:45,146750,146850,146625,146675,20.05,58.06,60.21
287,11/15/07,13:50,146675,146775,146475,146525,-46.86,38.7,54.83
288,11/15/07,13:55,146500,146575,146350,146450,-79.66,15.38,37.38
289,11/15/07,14:00,146475,146475,146125,146275,-162.46,17.14,23.74
290,11/15/07,14:05,146300,146375,146125,146275,-140.18,17.14,16.55
291,11/15/07,14:10,146300,146375,146075,146175,-168.11,10.81,15.03
292,11/15/07,14:15,146150,146375,146100,146300,-98.62,24.32,17.42
293,11/15/07,14:20,146300,146475,146125,146200,-134.39,13.51,16.21
294,11/15/07,14:25,146175,146500,146150,146300,-83.7,24.32,20.72
295,11/15/07,14:30,146300,146550,146225,146450,-23.55,40.54,26.12
296,11/15/07,14:35,146450,146525,146300,146325,-66.61,27.02,30.63
297,11/15/07,14:40,146350,146350,145725,145825,-212.65,8.51,25.35
298,11/15/07,14:45,145825,145900,145725,145875,-163.83,13.33,16.29
299,11/15/07,14:50,145850,145900,145550,145575,-212.92,1.92,7.92
300,11/15/07,14:55,145600,145700,145350,145400,-212.97,3.5,6.25
301,11/15/07,15:00,145400,145600,145375,145500,-155.91,12.24,5.89
302,11/15/07,15:05,145525,145575,145175,145275,-165.3,7.27,7.67
303,11/15/07,15:10,145275,145450,145050,145350,-127.76,20,13.17
304,11/15/07,15:15,145375,145550,145275,145525,-85.88,31.66,19.64
305,11/15/07,15:20,145525,145775,145500,145700,-50.24,43.33,31.66
306,11/15/07,15:25,145700,145975,145650,145700,-44.15,43.33,39.44
307,11/15/07,15:30,145725,145725,144875,144900,-164.02,1.49,29.38
308,11/15/07,15:35,144900,145075,144725,144775,-162.24,2.73,15.85
309,11/15/07,15:40,144750,145250,144675,145225,-81.87,29.72,11.32
310,11/15/07,15:45,145225,145925,145225,145575,-21.07,53.73,28.73
311,11/15/07,15:50,145550,145650,145200,145325,-58.2,50,44.48
312,11/15/07,15:55,145325,145725,145300,145525,-17.65,65.38,56.37
313,11/16/07,09:30,146450,146525,146300,146350,136.96,90.54,68.64
314,11/16/07,09:35,146375,146375,146050,146075,90.68,75.67,77.2
315,11/16/07,09:40,146075,146350,146050,146050,96.51,74.32,80.18
316,11/16/07,09:45,146075,146075,145850,146050,104.89,74.32,74.77
317,11/16/07,09:50,146050,146050,145675,145750,39.54,58.1,68.91
318,11/16/07,09:55,145750,145975,145475,145475,-18.84,43.24,58.55
319,11/16/07,10:00,145475,145550,145025,145125,-90.85,24.32,41.89
320,11/16/07,10:05,145150,145300,144950,145275,-55.09,32.43,33.33
321,11/16/07,10:10,145275,145450,145225,145300,-45.94,33.78,30.18
322,11/16/07,10:15,145325,145575,145200,145475,-11.23,43.24,36.48
323,11/16/07,10:20,145475,145525,145250,145350,-38.65,25.39,34.14
324,11/16/07,10:25,145350,145375,144900,144925,-115.09,1.53,23.39
325,11/16/07,10:30,144925,145175,144875,145100,-72.61,13.63,13.52
326,11/16/07,10:35,145100,145100,144750,144950,-92.07,11.26,8.81
327,11/16/07,10:40,144950,145225,144925,145100,-66.88,21.53,15.48
328,11/16/07,10:45,145100,145225,144900,145200,-54.42,28.12,20.31
329,11/16/07,10:50,145175,145350,145125,145150,-63.43,30.18,26.61
330,11/16/07,10:55,145150,145425,145075,145225,-43.98,36.53,31.61
331,11/16/07,11:00,145200,145800,145200,145675,43.94,75.51,47.41
332,11/16/07,11:05,145675,145775,145550,145600,27.77,80.95,64.33
333,11/16/07,11:10,145625,145650,145475,145575,34.93,78.57,78.34
334,11/16/07,11:15,145575,145775,145525,145725,78.12,92.85,84.12
335,11/16/07,11:20,145725,145725,145550,145575,52.41,78.57,83.33
336,11/16/07,11:25,145575,145625,145150,145175,-49.45,40.47,70.63
337,11/16/07,11:30,145175,145450,145150,145400,27.33,61.9,60.31
338,11/16/07,11:35,145400,145675,145400,145550,74.98,76.19,59.52
339,11/16/07,11:40,145550,145775,145525,145625,89.15,83.33,73.8
340,11/16/07,11:45,145625,145775,145450,145700,99.81,88.88,82.8
341,11/16/07,11:50,145700,146200,145675,146125,188.77,94.23,88.81
342,11/16/07,11:55,146125,146125,145875,145900,114.15,73.33,85.48
343,11/16/07,12:00,145900,145975,145825,145900,101.3,73.33,80.29
344,11/16/07,12:05,145875,146350,145850,146325,181.17,97.91,81.52
345,11/16/07,12:10,146325,146375,146175,146275,154.06,91.83,87.69
346,11/16/07,12:15,146275,146675,146275,146500,177.28,88.52,92.75
347,11/16/07,12:20,146500,146500,146300,146350,126.42,78.68,86.34
348,11/16/07,12:25,146350,146375,146175,146200,83.95,68.85,78.68
349,11/16/07,12:30,146200,146225,146050,146200,74.63,68.85,72.13
350,11/16/07,12:35,146175,146400,146125,146250,76.52,72.13,69.94
351,11/16/07,12:40,146250,146300,146000,146025,26.6,49.01,63.33
352,11/16/07,12:45,146025,146050,145850,145950,7.4,40.81,53.98
353,11/16/07,12:50,145950,146100,145900,146075,30.52,51.02,46.95
354,11/16/07,12:55,146050,146075,145750,145850,-22.78,17.5,36.44
355,11/16/07,13:00,145850,146075,145800,145925,-9.96,18.91,29.14
356,11/16/07,13:05,145950,146150,145925,146125,32.43,40.54,25.65
357,11/16/07,13:10,146100,146150,145925,146025,-6.28,29.72,29.72
358,11/16/07,13:15,146025,146250,146000,146150,28.82,43.24,37.83
359,11/16/07,13:20,146175,146225,145950,145975,-48.81,24.32,32.43
360,11/16/07,13:25,145975,146000,145800,145925,-80.22,23.33,30.3
361,11/16/07,13:30,145900,146175,145850,146100,-0.56,53.84,33.83
362,11/16/07,13:35,146100,146150,145925,146025,-39.07,42.3,39.82
363,11/16/07,13:40,146025,146400,145975,146275,71.4,80.76,58.97
364,11/16/07,13:45,146275,146500,146200,146375,115.91,83.33,68.8
365,11/16/07,13:50,146350,146375,146100,146100,-9.91,46.66,70.25
366,11/16/07,13:55,146125,146150,145875,145975,-66.66,30,53.33
367,11/16/07,14:00,146000,146025,145625,145800,-149.47,20,32.22
368,11/16/07,14:05,145800,145825,145475,145625,-209.52,14.63,21.54
369,11/16/07,14:10,145600,145700,145325,145400,-256.57,6.38,13.67
370,11/16/07,14:15,145425,145425,145175,145350,-223.76,13.2,11.4
371,11/16/07,14:20,145350,145475,145175,145275,-194.82,7.54,9.04
372,11/16/07,14:25,145275,145675,145175,145600,-83.24,32.07,17.61
373,11/16/07,14:30,145600,145750,145225,145300,-139.51,9.43,16.35
374,11/16/07,14:35,145300,145325,144800,144900,-187.5,5.88,15.79
375,11/16/07,14:40,144875,145200,144875,145150,-115.92,20.58,11.96
376,11/16/07,14:45,145125,145275,144975,145200,-93.89,23.52,16.66
377,11/16/07,14:50,145200,145350,145025,145100,-99.14,17.64,20.58
378,11/16/07,14:55,145100,145475,145000,145400,-42.91,38.09,26.42
379,11/16/07,15:00,145400,145600,145225,145250,-63.43,33.33,29.69
380,11/16/07,15:05,145250,145650,145250,145400,-32.83,48.97,40.13
381,11/16/07,15:10,145400,145625,145300,145475,-14.52,65.85,49.38
382,11/16/07,15:15,145475,145575,145275,145475,-9.94,71.05,61.96
383,11/16/07,15:20,145475,145550,145325,145400,-19.79,63.15,66.68
384,11/16/07,15:25,145375,145600,145225,145400,-9.35,63.15,65.78
385,11/16/07,15:30,145400,145525,145200,145225,-62.19,44.73,57.01
386,11/16/07,15:35,145200,145325,145075,145200,-64.3,42.1,49
387,11/16/07,15:40,145200,145700,145200,145625,133.33,91.66,59.5
388,11/16/07,15:45,145625,146250,145500,146200,324.57,96.36,76.71
389,11/16/07,15:50,146200,146350,145950,146325,273.4,98.18,95.4
390,11/16/07,15:55,146325,146400,146100,146175,178.16,83.92,92.82
391,11/19/07,09:30,145425,145500,145200,145200,-61.16,14.28,65.46
392,11/19/07,09:35,145200,145300,145000,145150,-68.26,10.71,36.3
393,11/19/07,09:40,145150,145250,144850,145100,-76.41,16.12,13.7
394,11/19/07,09:45,145150,145400,145125,145300,-34.59,29.03,18.62
395,11/19/07,09:50,145300,145425,145150,145375,-19.03,33.87,26.34
396,11/19/07,09:55,145375,145450,145000,145025,-104.99,11.29,24.73
397,11/19/07,10:00,145025,145300,144950,145225,-56.78,24.19,23.11
398,11/19/07,10:05,145225,145275,144900,145025,-99.01,11.29,15.59
399,11/19/07,10:10,145050,145075,144875,144875,-126.07,1.61,12.36
400,11/19/07,10:15,144875,145050,144725,144925,-102.39,11.94,8.28
401,11/19/07,10:20,144950,145100,144900,144900,-97.33,10.44,8.0003
402,11/19/07,10:25,144900,145125,144850,144975,-74.65,14.92,12.43
403,11/19/07,10:30,144950,144950,144550,144700,-119.5,8.1,11.16
404,11/19/07,10:35,144675,144725,144350,144450,-151.81,8.69,10.57
405,11/19/07,10:40,144450,144550,144350,144475,-131.01,11.36,9.38
406,11/19/07,10:45,144450,144575,144425,144550,-104.92,18.18,12.74
407,11/19/07,10:50,144550,144550,144250,144325,-130.15,6.25,11.93
408,11/19/07,10:55,144350,144400,144150,144250,-136.67,7.69,10.7
409,11/19/07,11:00,144225,144350,144125,144250,-128.48,9.43,7.79
410,11/19/07,11:05,144250,144275,144000,144050,-148.28,3.84,6.99
411,11/19/07,11:10,144025,144075,143775,143975,-139.49,13.33,8.87
412,11/19/07,11:15,143950,144150,143925,144125,-99.94,25.92,14.36
413,11/19/07,11:20,144150,144225,144100,144150,-85.65,27.77,22.34
414,11/19/07,11:25,144175,144275,143950,144000,-102.14,16.66,23.45
415,11/19/07,11:30,144000,144175,143975,144025,-91.11,18.51,20.98
416,11/19/07,11:35,144025,144275,144000,144250,-44.44,40.42,25.2
417,11/19/07,11:40,144250,144375,144225,144250,-38.66,50,36.31
418,11/19/07,11:45,144250,144300,144050,144150,-55.55,46.87,45.76
419,11/19/07,11:50,144150,144300,144150,144200,-39.13,53.12,49
420,11/19/07,11:55,144225,144225,143925,143950,-102.56,22.58,40.86
421,11/19/07,12:00,143975,144250,143875,144175,-31.26,64,46.56
422,11/19/07,12:05,144200,144400,144125,144325,41.32,88,58.19
423,11/19/07,12:10,144325,144425,144150,144200,-3.28,65.38,72.46
424,11/19/07,12:15,144225,144525,144225,144425,116.86,86.66,80.01
425,11/19/07,12:20,144400,144525,144325,144525,165.04,100,84.01
426,11/19/07,12:25,144500,144525,144375,144400,111.11,80.76,89.14
427,11/19/07,12:30,144425,144450,144150,144250,30.72,57.69,79.48
428,11/19/07,12:35,144250,144400,144225,144275,43.87,61.53,66.66
429,11/19/07,12:40,144300,144400,144275,144350,80.1,73.07,64.1
430,11/19/07,12:45,144350,144350,144150,144250,21.27,57.69,64.1
431,11/19/07,12:50,144225,144250,143875,143900,-169.75,3.84,44.87
432,11/19/07,12:55,143925,144100,143825,144000,-105.88,25,28.84
433,11/19/07,13:00,144000,144200,143725,143725,-199.45,0,9.61
434,11/19/07,13:05,143750,143900,143625,143775,-158.15,16.66,13.88
435,11/19/07,13:10,143775,143850,143400,143575,-194.72,15.55,10.74
436,11/19/07,13:15,143550,143625,143350,143500,-173.41,12.76,14.99
437,11/19/07,13:20,143500,143700,143400,143675,-106.2,27.65,18.66
438,11/19/07,13:25,143675,143925,143625,143850,-54.47,42.55,27.65
439,11/19/07,13:30,143850,144000,143750,143825,-54.93,40.42,36.87
440,11/19/07,13:35,143825,143975,143725,143975,-18.29,56.81,46.59
441,11/19/07,13:40,143950,143975,143600,143700,-78.07,33.33,43.52
442,11/19/07,13:45,143700,143875,143675,143750,-60.6,38.09,42.74
443,11/19/07,13:50,143750,143875,143550,143625,-83.25,27.5,32.97
444,11/19/07,13:55,143600,143675,143325,143475,-111.31,16.21,27.27
445,11/19/07,14:00,143475,143725,143400,143650,-63.11,37.14,26.95
446,11/19/07,14:05,143625,143950,143450,143925,22.96,68.57,40.64
447,11/19/07,14:10,143925,144175,143875,144050,69.42,85.29,63.66
448,11/19/07,14:15,144050,144300,143800,144225,130.61,92.3,82.05
