Bar,Date,Time,Open,High,Low,Close,Vol,ADX(1414),+DI(1414),-DI(1414)
264,12/21/06,00:00,95.78,96.50,95.53,95.91,4406200,32.57,24.63,11.14
265,12/22/06,00:00,95.75,95.98,95.24,95.25,3031500,32.42,23.46,12.47
266,12/26/06,00:00,95.00,95.81,94.92,95.66,2278700,31.75,22.1,13.83
267,12/27/06,00:00,96.30,97.23,96.27,97.20,4571800,32.32,28.87,12.46
268,12/28/06,00:00,97.11,97.40,96.87,96.97,4501900,32.96,28.98,12.02
269,12/29/06,00:00,97.00,97.88,96.83,97.15,4455900,33.88,30.14,11.19
270,01/03/07,00:00,97.18,98.40,96.26,97.27,9199500,33.81,26.17,13.22
271,01/04/07,00:00,97.25,98.79,96.88,98.31,10557200,34.03,25.52,11.74
272,01/05/07,00:00,97.60,97.95,96.91,97.42,7222300,34.25,23.45,10.78
273,01/08/07,00:00,98.50,99.50,98.35,98.90,10340000,35.43,29.33,9.54
274,01/09/07,00:00,99.08,100.33,99.07,100.07,11108900,36.94,31.59,8.79
275,01/10/07,00:00,98.50,99.05,97.93,98.89,8744800,36.73,28.04,13.79
276,01/11/07,00:00,99.00,99.90,98.50,98.65,8000800,37.02,30.43,12.78
277,01/12/07,00:00,98.99,99.69,98.50,99.34,6636500,37.3,28.52,11.97
278,01/16/07,00:00,99.40,100.84,99.30,100.82,9601100,38.14,32.24,11.01
279,01/17/07,00:00,100.69,100.90,99.90,100.02,8201500,38.95,30.84,10.42
280,01/18/07,00:00,99.80,99.95,98.91,99.45,14707100,38.4,28.99,15.15
281,01/19/07,00:00,95.00,96.85,94.55,96.17,26036100,36.85,22.55,31.53
282,01/22/07,00:00,96.42,97.23,96.12,97.11,13540700,35.12,23.15,29.91
283,01/23/07,00:00,96.91,97.38,96.20,97.08,10337400,33.41,22.57,28.25
284,01/24/07,00:00,97.08,97.58,96.58,97.40,5700000,31.67,22.45,26.89
285,01/25/07,00:00,97.22,97.92,97.22,97.51,6231300,29.78,23.36,25.94
286,01/26/07,00:00,97.52,97.83,96.84,97.45,5771100,28.3,22.18,26.58
287,01/29/07,00:00,97.70,98.66,97.45,98.54,7294800,26.3,25.08,24.91
288,01/30/07,00:00,98.57,99.45,98.50,99.37,7178000,25.02,28.008,23.66
289,01/31/07,00:00,98.80,99.48,98.35,99.15,6446400,23.71,26.31,23.03
290,02/01/07,00:00,98.97,99.18,97.96,99.00,6612400,22.16,24.58,23.62
291,02/02/07,00:00,99.10,99.73,98.88,99.17,6657000,21.15,26.47,22.51
292,02/05/07,00:00,99.17,100.44,98.90,100.38,8184800,20.74,28.11,20.62
293,02/06/07,00:00,100.00,100.40,99.54,99.85,6532800,20.36,26.76,19.62
294,02/07/07,00:00,99.80,100.36,99.12,99.54,7698200,19.57,24.9,20.61
295,02/08/07,00:00,98.90,99.74,98.65,99.62,6152300,18.39,23.37,22.007
296,02/09/07,00:00,99.52,99.70,97.81,98.55,6101100,17.61,20.95,24.32
297,02/12/07,00:00,98.80,99.20,98.22,98.58,5331043,16.88,19.81,22.99
298,02/13/07,00:00,98.60,98.74,97.80,98.29,5703015,16.57,18.75,24.15
299,02/14/07,00:00,98.50,99.43,98.25,99.20,5644733,15.57,21.42,22.53
300,02/15/07,00:00,99.06,99.52,98.48,98.92,5568600,14.55,20.66,21.17
301,02/16/07,00:00,99.12,99.25,98.63,98.99,4800700,13.59,19.89,20.39
302,02/20/07,00:00,98.66,99.46,98.55,99.35,4124200,12.77,20.07,19.26
303,02/21/07,00:00,98.90,99.37,98.70,99.09,4302400,12.008,19.22,18.45
304,02/22/07,00:00,98.80,99.50,97.77,98.50,5900300,12.04,17.21,22.15
305,02/23/07,00:00,98.40,98.44,97.41,97.73,6355900,12.43,16.07,22.87
306,02/26/07,00:00,97.86,97.86,96.46,96.91,5914591,13.6,14.71,26.65
307,02/27/07,00:00,96.00,96.01,92.88,93.96,11915200,16.51,11.67,39.5
308,02/28/07,00:00,93.71,94.09,92.47,92.94,11606300,19.36,10.71,38.34
309,03/01/07,00:00,90.25,93.05,88.77,92.27,12865732,22.9,8.68,47.45
310,03/02/07,00:00,92.00,92.37,90.84,90.90,9451300,26.2,8.09,44.22
311,03/05/07,00:00,90.25,92.15,90.10,91.81,10315713,29.4,7.37,43.5
312,03/06/07,00:00,92.40,93.89,92.26,93.80,9184400,30.68,14.15,39.63
313,03/07/07,00:00,93.97,94.85,93.62,93.94,10132800,31.08,17.58,37.51
314,03/08/07,00:00,94.50,94.82,92.52,93.00,7403900,31.83,15.86,38.51
315,03/09/07,00:00,93.48,94.00,92.82,93.28,6235500,32.53,15.05,36.55
316,03/12/07,00:00,93.29,94.17,92.97,94.11,5531300,33.03,15.009,34.61
317,03/13/07,00:00,93.86,94.47,92.62,92.71,7537800,33.63,13.79,33.34
318,03/14/07,00:00,92.65,94.03,92.10,93.76,8714065,34.4,12.64,32.81
319,03/15/07,00:00,93.40,93.97,93.10,93.45,5908249,35.11,12.15,31.53
320,03/16/07,00:00,94.45,94.45,93.02,93.25,8731750,35.25,13.53,29.5
321,03/19/07,00:00,93.95,94.32,93.39,93.99,4402262,35.38,12.86,28.05
322,03/20/07,00:00,94.00,94.53,93.55,94.50,4559800,35.26,13.26,26.75
323,03/21/07,00:00,94.50,95.81,93.83,95.36,7644995,33.82,17.97,24.3
324,03/22/07,00:00,95.10,95.44,94.65,95.19,5993550,32.47,17.29,23.38
325,03/23/07,00:00,94.82,95.22,94.65,95.03,4412483,31.22,16.79,22.71
326,03/26/07,00:00,95.00,95.25,94.32,95.00,6729345,30.32,15.99,23.32
327,03/27/07,00:00,94.71,95.03,94.20,94.73,4581400,29.58,15.29,22.93
328,03/28/07,00:00,93.90,95.02,93.80,94.26,8000157,29.22,14.29,23.57
329,03/29/07,00:00,94.66,95.11,93.96,94.57,6851600,28.76,13.89,22.11
330,03/30/07,00:00,94.24,94.75,93.57,94.26,7193150,28.66,13.004,22.81
331,04/02/07,00:00,94.51,95.50,94.06,95.21,5882800,27.58,16.03,21.04
332,04/03/07,00:00,95.45,96.23,95.33,96.10,5730800,25.74,19.14,19.86
333,04/04/07,00:00,95.80,96.45,95.57,96.21,4277725,24.01,19.43,18.88
334,04/05/07,00:00,95.98,96.75,95.75,96.52,3307100,22.71,20.03,17.8
335,04/09/07,00:00,96.43,96.94,96.12,96.62,4850581,21.71,20.18,16.95
336,04/10/07,00:00,96.40,96.80,96.16,96.46,3594900,20.78,19.4,16.3
337,04/11/07,00:00,96.51,96.70,94.95,95.16,5940774,20.08,17.42,21.73
338,04/12/07,00:00,95.03,95.82,94.53,95.67,7085294,19.84,16.11,22.55
339,04/13/07,00:00,95.75,95.75,94.59,94.93,6024883,19.61,15.01,21.02
340,04/16/07,00:00,94.99,96.30,94.72,96.18,6657100,18.67,16.81,19.11
341,04/17/07,00:00,96.30,97.66,96.02,97.12,10270033,18.31,22.88,17.36
342,04/18/07,00:00,94.80,95.91,94.40,94.80,15871634,17.61,19.65,23.31
343,04/19/07,00:00,94.50,94.87,94.00,94.29,9446748,17.28,18.74,24.36
